,Date,Open,High,Low,Close,Adj Close,Volume
0,2000-01-04,6000.0,6110.0,5660.0,6110.0,0.090599,74195000.0
1,2000-01-05,5800.0,6060.0,5520.0,5580.0,0.08274,74680000.0
2,2000-01-06,5750.0,5780.0,5580.0,5620.0,0.083333,54390000.0
3,2000-01-07,5560.0,5670.0,5360.0,5540.0,0.082147,40305000.0
4,2000-01-10,5600.0,5770.0,5580.0,5770.0,0.08555800000000001,46880000.0
5,2000-01-11,5820.0,6100.0,5770.0,5770.0,0.08555800000000001,59745000.0
6,2000-01-12,5610.0,5740.0,5600.0,5720.0,0.084816,29220000.0
7,2000-01-13,5600.0,5740.0,5560.0,5710.0,0.084668,41190000.0
8,2000-01-14,5720.0,5880.0,5680.0,5830.0,0.086447,49375000.0
9,2000-01-17,6000.0,6180.0,5920.0,6100.0,0.090451,63505000.0
10,2000-01-18,6160.0,6160.0,5980.0,6100.0,0.090451,45260000.0
11,2000-01-19,6000.0,6040.0,5960.0,5960.0,0.088375,40205000.0
12,2000-01-20,5860.0,6040.0,5820.0,6040.0,0.089561,37315000.0
13,2000-01-21,5950.0,5980.0,5880.0,5880.0,0.087189,32535000.0
14,2000-01-24,5800.0,5900.0,5700.0,5700.0,0.08452,34355000.0
15,2000-01-25,5520.0,5640.0,5440.0,5440.0,0.080664,44250000.0
16,2000-01-26,5500.0,5520.0,5410.0,5480.0,0.08125700000000001,29285000.0
17,2000-01-27,5480.0,5620.0,5430.0,5520.0,0.081851,27900000.0
18,2000-01-28,5640.0,5880.0,5540.0,5820.0,0.086299,38315000.0
19,2000-01-31,5640.0,5730.0,5560.0,5580.0,0.08274,39630000.0
20,2000-02-01,5600.0,5680.0,5260.0,5320.0,0.078885,71470000.0
21,2000-02-02,5220.0,5370.0,5110.0,5250.0,0.077847,64105000.0
22,2000-02-03,5250.0,5460.0,4970.0,5130.0,0.076068,142765000.0
23,2000-02-04,5130.0,5130.0,5130.0,5130.0,0.076068,0.0
24,2000-02-07,5140.0,5330.0,5040.0,5240.0,0.077699,64140000.0
25,2000-02-08,5340.0,5480.0,5310.0,5430.0,0.08051599999999999,58460000.0
26,2000-02-09,5560.0,5720.0,5480.0,5720.0,0.084816,51050000.0
27,2000-02-10,5660.0,5880.0,5600.0,5760.0,0.085409,61845000.0
28,2000-02-11,5960.0,5960.0,5680.0,5700.0,0.08452,34660000.0
29,2000-02-14,5600.0,5660.0,5340.0,5380.0,0.079775,44140000.0
30,2000-02-15,5380.0,5420.0,5140.0,5200.0,0.077106,38315000.0
31,2000-02-16,5180.0,5200.0,4780.0,5000.0,0.07414,73115000.0
32,2000-02-17,4940.0,5100.0,4910.0,5080.0,0.075326,65185000.0
33,2000-02-18,5370.0,5630.0,5160.0,5300.0,0.078588,108750000.0
34,2000-02-21,5200.0,5260.0,5030.0,5070.0,0.075178,26485000.0
35,2000-02-22,5000.0,5240.0,5000.0,5120.0,0.075919,24180000.0
36,2000-02-23,5220.0,5260.0,5100.0,5140.0,0.07621599999999999,27720000.0
37,2000-02-24,5120.0,5240.0,5060.0,5070.0,0.075178,26075000.0
38,2000-02-25,5080.0,5150.0,4980.0,5120.0,0.075919,27875000.0
39,2000-02-28,5000.0,5050.0,4800.0,4800.0,0.071174,30140000.0
40,2000-02-29,4900.0,5140.0,4840.0,5120.0,0.075919,51820000.0
41,2000-03-01,5120.0,5120.0,5120.0,5120.0,0.075919,0.0
42,2000-03-02,5880.0,5880.0,5520.0,5880.0,0.087189,117750000.0
43,2000-03-03,6200.0,6250.0,5880.0,6000.0,0.08896799999999999,140990000.0
44,2000-03-06,6000.0,6050.0,5600.0,5640.0,0.08363,39150000.0
45,2000-03-07,5600.0,5640.0,5480.0,5620.0,0.083333,30070000.0
46,2000-03-08,5520.0,6000.0,5500.0,5920.0,0.087782,32460000.0
47,2000-03-09,5970.0,5980.0,5620.0,5620.0,0.083333,55890000.0
48,2000-03-10,5790.0,5800.0,5520.0,5540.0,0.082147,28605000.0
49,2000-03-13,5480.0,5490.0,5160.0,5180.0,0.076809,32215000.0
50,2000-03-14,5170.0,5380.0,5160.0,5210.0,0.077254,30060000.0
51,2000-03-15,5200.0,5400.0,5120.0,5400.0,0.080071,46105000.0
52,2000-03-16,5480.0,5520.0,5360.0,5400.0,0.080071,28795000.0
53,2000-03-17,5540.0,5560.0,5400.0,5480.0,0.08125700000000001,24080000.0
54,2000-03-20,5600.0,5710.0,5530.0,5660.0,0.083926,26365000.0
55,2000-03-21,5700.0,5940.0,5610.0,5880.0,0.087189,44925000.0
56,2000-03-22,5960.0,6300.0,5880.0,6200.0,0.091934,86975000.0
57,2000-03-23,6480.0,6580.0,6200.0,6200.0,0.091934,64950000.0
58,2000-03-24,6320.0,7120.0,6180.0,6800.0,0.10082999999999999,90260000.0
59,2000-03-27,6960.0,7040.0,6700.0,6800.0,0.10082999999999999,67730000.0
60,2000-03-28,6900.0,7260.0,6820.0,7030.0,0.10424100000000001,74425000.0
61,2000-03-29,7030.0,7680.0,6980.0,7660.0,0.11358199999999999,78090000.0
62,2000-03-30,7520.0,7560.0,7050.0,7050.0,0.10453699999999999,74645000.0
63,2000-03-31,6800.0,7070.0,6650.0,6700.0,0.099348,63855000.0
64,2000-04-03,6920.0,7320.0,6860.0,7100.0,0.105279,56805000.0
65,2000-04-04,7000.0,7290.0,6660.0,6800.0,0.10082999999999999,58340000.0
